3.9861143,3.9675632,3.9508354,3.9750153,4.06349,4.0711007,4.0583369,4.0700701,4.0670575,4.0680881,4.0688809,4.0699908,4.0661061,4.0741132,4.0683259,4.0679295,4.0676917,4.0681674,4.0642827,4.066344
4.0714971,4.0692773,4.0621422,4.0702286,4.0642035,4.0588918,4.0401028,4.0554036,4.050409,4.0529459,4.0550072,4.0551657,4.0492199,4.0597639,4.0526288,4.0527874,4.051836,4.0506469,4.0457316,4.0482685
4.0567513,4.0517568,4.0428776,4.0538973,4.0462866,3.9624894,3.9109585,3.9502805,3.9339492,3.9470301,3.9582083,3.952421,3.9323636,3.9603488,3.9449689,3.9511526,3.9437797,3.9325222,3.9203926,3.9289546
3.9616173,3.9387059,3.9195205,3.9480607,3.9308573,4.032175,4.008233,4.0286868,4.0219481,4.0265463,4.030748,4.0297967,4.0207589,4.0352669,4.0263877,4.027894,4.0255949,4.0224238,4.0160815,4.0199662
4.0343948,4.0255949,4.0145752,4.0292417,4.0195698,4.0472379,4.0266255,4.0440668,4.038438,4.0414506,4.0445424,4.044146,4.0370903,4.0490613,4.041292,4.0419262,4.0403407,4.0385966,4.0332056,4.0362975
4.0470793,4.0406578,4.0309858,4.043274,4.0349498,4.078315,4.0684845,4.0782357,4.0762538,4.0757781,4.0759366,4.0776015,4.0752231,4.0813276,4.0762538,4.0749853,4.0755403,4.0769673,4.0737961,4.074906
4.0776015,4.0770465,4.070625,4.0774429,4.0721313,4.1083615,4.1078858,4.1102642,4.1116912,4.1078065,4.1054282,4.1086786,4.1102642,4.1112155,4.1087579,4.1054282,4.1082029,4.1125632,4.1112948,4.1108984
4.1059831,4.1106606,4.1074894,4.1088372,4.1065381,4.1158136,4.1158136,4.1169235,4.1188262,4.1144659,4.1116119,4.1149416,4.1173992,4.1174785,4.1151794,4.1116912,4.1147038,4.1194605,4.1187469,4.1180334
4.1115326,4.1170028,4.1143074,4.1148623,4.1131182,4.116765,4.1168443,4.1178749,4.1196983,4.115338,4.1124047,4.1158136,4.1182713,4.1182713,4.1161308,4.1125632,4.1154965,4.1204911,4.119619,4.1188262
4.1120876,4.1177163,4.1150209,4.1155758,4.1137524,4.1148623,4.1139902,4.1156551,4.1172407,4.1131182,4.110502,4.1136731,4.1155758,4.11621,4.1136731,4.1103434,4.1131182,4.1177956,4.116765,4.11621
4.1101849,4.1150209,4.1122461,4.1130389,4.1111362,4.1176371,4.1170821,4.1183506,4.120174,4.1157344,4.1130389,4.1162893,4.1185884,4.1188262,4.1166064,4.1131975,4.1158929,4.1208875,4.1199361,4.1192226
4.1125632,4.1180334,4.1152587,4.1158929,4.1139902,4.1703571,4.1855786,4.1742418,4.1820111,4.1721013,4.1648869,4.1709914,4.1809804,4.1717841,4.1740039,4.1674238,4.1736868,4.1838345,4.1866885,4.1829624
4.1428476,4.1533916,4.1539465,4.1492691,4.1502204,4.101385,4.0968661,4.1024156,4.1017021,4.0993238,4.0981346,4.1005129,4.0998787,4.1034462,4.099403,4.0972625,4.0986895,4.1019399,4.0995616,4.0997994
4.0975004,4.0993238,4.0946463,4.0986103,4.0948049,4.092268,4.0757781,4.0852915,4.0830717,4.0825168,4.082596,4.0841816,4.0814069,4.0876698,4.0824375,4.081169,4.081724,4.0832303,4.0800591,4.0812483
4.0827546,4.0821204,4.0757781,4.0823582,4.0772051,4.0856086,4.074034,4.0837059,4.0815654,4.0809312,4.0812483,4.0826753,4.0799798,4.0863221,4.0810105,4.0798213,4.080297,4.0819618,4.0786321,4.0799006
4.0818032,4.0809312,4.0747475,4.0813276,4.0760952,4.0846573,4.0642035,4.0755403,4.0724484,4.0728448,4.0735583,4.0747475,4.0708628,4.0785528,4.0726862,4.0718142,4.0718935,4.0726862,4.0690394,4.0705457
4.0744304,4.0722106,4.0651548,4.0732412,4.067216,4.0769673,4.0223445,4.0412127,4.0344741,4.0382002,4.041847,4.0411335,4.03273,4.0462073,4.0374074,4.0385966,4.0366939,4.034157,4.0282111,4.0316201
